Server,250.699,230.849,-62.546,0.091,0.009,0.990,-0.104,250.052,231.610,-64.990,-0.022,0.171,0.065,0.983,249.826,232.106,-63.466,-0.090,-0.004,-0.006,0.996,0.226,0.509
Client,250.699,230.849,-62.546,0.533,0.055,0.840,-0.088,250.061,231.612,-65.040,-0.052,0.235,0.077,0.967,250.018,232.372,-63.960,-0.024,0.161,0.051,0.985,0.204,0.140
Server,250.519,232.369,-62.546,0.575,0.060,0.812,-0.086,250.054,231.629,-65.086,-0.213,0.163,0.039,0.963,250.018,232.372,-63.960,-0.024,0.161,0.051,0.985,0.080,0.276
Client,250.582,232.369,-62.546,0.347,0.801,0.316,0.373,250.108,231.689,-65.060,-0.629,0.196,0.265,0.704,250.073,232.451,-64.026,-0.629,0.196,0.265,0.704,0.029,0.159
Client,250.845,232.386,-62.076,-0.072,0.695,0.715,0.032,249.977,232.106,-64.804,-0.137,0.167,0.015,0.976,251.722,231.932,-63.746,-0.128,-0.172,-0.034,0.976,0.021,0.025,0
Server,250.855,232.443,-61.960,0.012,0.706,0.709,-0.007,249.703,232.088,-64.769,-0.105,0.258,0.027,0.960,251.703,231.927,-63.756,-0.107,-0.153,-0.037,0.982,0.020,0.025,1
Client,250.898,232.440,-61.947,0.012,0.706,0.709,-0.007,249.709,232.072,-64.738,-0.008,0.222,0.012,0.975,251.713,231.919,-63.749,-0.069,-0.207,0.009,0.976,0.015,0.019,2
Server,250.898,232.440,-61.953,0.004,0.757,0.653,0.001,249.660,232.081,-64.762,-0.090,0.241,0.031,0.966,251.732,231.932,-63.740,-0.163,-0.196,-0.027,0.967,0.018,0.021,3
Client,250.865,232.440,-62.023,-0.002,0.744,0.668,-0.013,249.660,232.080,-64.763,-0.104,0.229,0.036,0.967,251.727,231.926,-63.741,-0.140,-0.197,-0.022,0.970,0.018,0.028,4
Server,250.898,232.440,-61.927,0.006,0.631,0.775,0.012,249.675,232.082,-64.728,-0.057,0.183,0.060,0.980,251.717,231.924,-63.748,-0.145,-0.180,-0.015,0.973,0.020,0.026,5
Client,250.898,232.440,-61.927,-0.175,0.725,0.662,-0.075,249.682,232.068,-64.712,-0.009,0.219,0.008,0.976,251.677,231.887,-63.800,-0.155,-0.235,0.031,0.959,0.069,0.048,6
Server,250.908,232.440,-61.920,-0.015,0.410,0.912,-0.006,249.382,232.071,-65.328,-0.073,0.225,0.044,0.971,251.721,232.510,-63.419,0.154,-0.269,0.026,0.950,0.062,0.046,7
Client,250.908,232.440,-61.920,-0.069,0.700,0.708,0.054,249.369,232.073,-65.344,-0.118,0.219,0.088,0.965,251.730,232.559,-63.407,0.012,-0.226,-0.001,0.974,0.026,0.023,8
Client,250.921,232.312,-62.306,-0.001,0.156,0.988,-0.005,251.835,232.481,-63.125,0.081,-0.290,0.025,0.953,252.411,232.982,-62.925,-0.353,0.576,-0.302,-0.672,0.495,0.263
Server,250.699,230.729,-62.546,0.000,0.000,0.995,-0.105,249.436,231.917,-64.799,-0.185,-0.210,0.041,-0.959,252.411,232.982,-62.925,-0.353,0.576,-0.302,-0.672,0.325,0.322
Server,250.699,231.107,-62.546,0.000,0.000,0.994,-0.105,249.400,232.235,-64.787,-0.185,-0.210,0.041,-0.959,252.417,232.982,-62.727,-0.353,0.576,-0.302,-0.672,0.667,0.336
Server,250.699,230.729,-62.546,0.000,0.000,0.995,-0.105,249.424,231.815,-64.799,-0.185,-0.210,0.041,-0.959,252.411,232.982,-62.108,-0.353,0.576,-0.302,-0.672,0.221,0.114
Client,250.699,230.729,-62.546,0.000,0.000,0.995,-0.105,249.424,231.815,-64.799,-0.185,-0.210,0.041,-0.959,252.285,232.982,-62.925,-0.353,0.576,-0.302,-0.672,0.221,0.403
Server,250.699,230.729,-62.546,0.000,0.000,0.995,-0.105,249.424,231.815,-64.799,-0.185,-0.210,0.041,-0.959,251.926,232.982,-62.925,-0.353,0.576,-0.302,-0.672,0.221,0.128
Client,250.699,230.729,-62.546,0.000,0.000,0.995,-0.105,249.424,231.815,-64.799,-0.185,-0.210,0.041,-0.959,250.492,232.982,-62.673,-0.353,0.576,-0.302,-0.672,0.221,0.268
